x,y_obs,y_calc,y_bkg,struct_CaNi(PO3)4_15_sym,struct_NiO_225_sym
11.8051,3140.0,3164.51,3160.85,3.64,0.02
11.8159,3189.0,3163.79,3160.1,3.67,0.02
11.8268,3143.0,3163.07,3159.35,3.71,0.02
11.8377,3055.0,3162.36,3158.6,3.74,0.02
11.8485,3119.0,3161.64,3157.85,3.77,0.02
11.8594,3074.0,3160.93,3157.11,3.8,0.02
11.8703,3171.0,3160.22,3156.36,3.84,0.02
11.8811,3121.0,3159.51,3155.61,3.87,0.02
11.892,3120.0,3158.79,3154.87,3.9,0.02
11.9029,3186.0,3158.09,3154.13,3.94,0.02
11.9137,3071.0,3157.38,3153.38,3.97,0.02
11.9246,3063.0,3156.66,3152.63,4.01,0.02
11.9355,3150.0,3155.96,3151.89,4.05,0.02
11.9463,3095.0,3155.25,3151.15,4.08,0.02
11.9572,3118.0,3154.54,3150.4,4.12,0.02
11.9681,3107.0,3153.83,3149.65,4.16,0.02
11.9789,3067.0,3153.13,3148.91,4.2,0.02
11.9898,3175.0,3152.42,3148.16,4.24,0.02
12.0007,3077.0,3151.72,3147.42,4.28,0.02
12.0115,3013.0,3151.01,3146.67,4.32,0.02
12.0224,3242.0,3150.3,3145.92,4.36,0.02
12.0333,3171.0,3149.59,3145.17,4.4,0.02
12.0441,2999.0,3148.88,3144.42,4.44,0.02
12.055,3122.0,3148.17,3143.66,4.49,0.02
12.0659,3032.0,3147.46,3142.91,4.53,0.02
12.0767,3180.0,3146.73,3142.15,4.55,0.02
12.0876,3021.0,3146.02,3141.4,4.6,0.02
12.0985,3075.0,3145.31,3140.64,4.64,0.02
12.1093,3144.0,3144.59,3139.88,4.69,0.02
12.1202,3117.0,3143.87,3139.11,4.74,0.02
12.1311,3162.0,3143.16,3138.35,4.79,0.02
12.1419,3146.0,3142.44,3137.58,4.84,0.02
12.1528,3065.0,3141.73,3136.81,4.89,0.02
12.1637,3140.0,3141.01,3136.05,4.94,0.02
12.1745,3097.0,3140.29,3135.27,4.99,0.02
12.1854,3174.0,3139.57,3134.5,5.05,0.02
12.1963,3103.0,3138.84,3133.72,5.1,0.02
12.2071,3142.0,3138.12,3132.94,5.16,0.02
12.218,3102.0,3137.39,3132.15,5.21,0.02
12.2289,3211.0,3136.66,3131.37,5.27,0.02
12.2397,3094.0,3135.93,3130.58,5.33,0.02
12.2506,3074.0,3135.2,3129.79,5.39,0.02
12.2615,2942.0,3134.47,3129.0,5.45,0.02
12.2723,3101.0,3133.74,3128.2,5.51,0.02
12.2832,3089.0,3133.0,3127.4,5.58,0.02
12.2941,3043.0,3132.27,3126.6,5.64,0.02
